"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 02월 05일","17.45","17.20","17.45","17.20","0.09K","1.75%"
"2020년 02월 04일","17.15","17.50","17.55","17.15","0.09K","-14.25%"
"2020년 02월 03일","20.00","18.80","20.00","18.80","0.01K","12.68%"
"2020년 01월 31일","17.75","16.60","17.85","16.60","0.05K","5.34%"
"2020년 01월 30일","16.85","16.80","16.95","16.80","0.12K","4.33%"
"2020년 01월 29일","16.15","16.15","16.15","16.15","0.01K","-0.92%"
"2020년 01월 28일","16.30","17.05","17.10","16.30","0.28K","8.67%"
"2020년 01월 23일","15.00","14.70","15.00","14.70","0.15K","4.90%"
"2020년 01월 22일","14.30","14.30","14.30","14.30","0.01K","-1.38%"
"2020년 01월 21일","14.50","14.10","14.50","14.10","0.28K","3.20%"
"2020년 01월 20일","14.05","14.25","14.25","14.05","0.08K","0.36%"
"2020년 01월 17일","14.00","13.95","14.10","13.95","0.07K","2.56%"
"2020년 01월 16일","13.65","14.05","14.05","13.65","0.14K","2.25%"
"2020년 01월 15일","13.35","13.35","13.35","13.35","-","0.75%"
"2020년 01월 14일","13.25","13.25","13.25","13.25","-","0.00%"
"2020년 01월 13일","13.25","13.25","13.25","13.25","-","3.52%"
"2020년 01월 10일","12.80","12.80","12.80","12.80","-","-5.88%"
"2020년 01월 09일","13.60","13.60","13.60","13.60","-","-14.73%"
"2020년 01월 08일","15.95","15.45","16.05","15.45","0.08K","7.41%"
"2020년 01월 07일","14.85","15.45","15.45","14.85","0.16K","-6.01%"
"2020년 01월 06일","15.80","16.00","16.00","15.80","0.04K","3.27%"
"2020년 01월 03일","15.30","14.90","15.50","14.65","0.02K","1.66%"
"2020년 01월 02일","15.05","14.70","15.05","14.70","0.03K","3.44%"
"2019년 12월 30일","14.55","14.55","14.55","14.55","0.00K","1.75%"
"2019년 12월 27일","14.30","14.25","14.30","14.25","0.02K","2.14%"
"2019년 12월 26일","14.00","14.00","14.00","14.00","0.00K","1.45%"
"2019년 12월 24일","13.80","13.80","13.80","13.80","-","-1.08%"
"2019년 12월 23일","13.95","13.95","13.95","13.95","0.01K","6.49%"
"2019년 12월 20일","13.10","13.10","13.10","13.10","-","-0.76%"
"2019년 12월 19일","13.20","13.20","13.20","13.20","-","-1.49%"
"2019년 12월 18일","13.40","13.40","13.40","13.40","0.00K","2.68%"
"2019년 12월 17일","13.05","13.05","13.05","13.05","-","-4.40%"
"2019년 12월 16일","13.65","13.70","13.70","13.65","0.01K","4.20%"
"2019년 12월 13일","13.10","13.10","13.10","13.10","-","-6.76%"
"2019년 12월 12일","14.05","14.05","14.05","14.05","0.00K","4.85%"
"2019년 12월 11일","13.40","13.40","13.40","13.40","-","-1.47%"
"2019년 12월 10일","13.60","13.60","13.60","13.60","-","0.00%"
"2019년 12월 09일","13.60","13.60","13.60","13.60","-","-2.16%"
"2019년 12월 06일","13.90","13.90","13.90","13.90","-","-5.12%"
"2019년 12월 05일","14.65","14.65","14.65","14.65","0.00K","3.17%"
"2019년 12월 04일","14.20","14.20","14.20","14.20","0.00K","0.35%"
"2019년 12월 03일","14.15","14.15","14.15","14.15","0.00K","1.43%"
"2019년 12월 02일","13.95","13.95","13.95","13.95","-","0.00%"
"2019년 11월 29일","13.95","13.95","13.95","13.95","-","1.45%"
"2019년 11월 28일","13.75","13.75","13.75","13.75","-","-0.72%"
"2019년 11월 27일","13.85","13.85","13.85","13.85","-","0.00%"
"2019년 11월 26일","13.85","13.65","13.85","13.60","0.01K","-0.36%"
"2019년 11월 25일","13.90","13.90","13.90","13.90","-","-1.42%"
"2019년 11월 22일","14.10","14.25","14.25","14.10","0.05K","-3.42%"
"2019년 11월 21일","14.60","14.40","14.65","14.30","0.02K","4.29%"
"2019년 11월 20일","14.00","14.00","14.00","14.00","0.01K","3.70%"
